	participant	sentence_number	sentence_index	sentence_order	critical_reached	critical_index	critical_target	critical_distractor	critical_target_word	critical_distractor_word	target_length	condition	condition_label	ortho_similarity	phono_similarity	critical_target_freq	critical_distractor_freq	critical_target_word_freq	critical_distractor_word_freq	block_acc	block_RT	pair_distractor	pair_correct	target_pos	target_pos_verbose	resp	resp_verbose	resp_RT	resp_acc	prev_pos	prev_resp	condition_verbose	inv_RT	ortho_center	phono_center
10	101	1	10	0	1.0	10	柱	述	天柱,	天述	3	3	phon_sim	0	1	2.7412	3.386	0.0	0.0	1	15423	天述,	天柱,	0	L	0	L	653	1	0	0	O-P+	-1.5313935681470139	-0.5	0.5
21	101	2	7	72	1.0	7	文	钙	作文	作钙	2	4	both_dif	0	0	4.1522	2.0531	1.7993	0.0	1	8144	作钙	作文	0	L	0	L	569	1	0	0	O-P-	-1.757469244288225	-0.5	-0.5
26	101	3	3	21	1.0	3	殃	映	殃及	映及	2	2	orth_sim	1	0	2.0569	2.9689	1.3222	0.0	1	6352	映及	殃及	0	L	0	L	1684	1	1	1	O+P-	-0.5938242280285035	0.5	-0.5
57	101	9	2	73	1.0	2	治	置	治病,	置病	3	3	phon_sim	0	1	4.077	3.9547	0.0	0.0	1	4227	置病,	治病,	0	L	0	L	737	1	0	0	O-P+	-1.3568521031207599	-0.5	0.5
64	101	10	4	19	1.0	4	央	蓟	中央	中蓟	2	4	both_dif	0	0	2.9499	1.5185	2.9053	0.0	1	8967	中蓟	中央	0	L	0	L	506	1	0	0	O-P-	-1.976284584980237	-0.5	-0.5
73	101	11	4	1	1.0	4	汪	注	汪汪	注注	2	2	orth_sim	1	0	2.4048	4.1835	1.7076	0.0	1	8288	注注	汪汪	1	R	1	R	1116	1	0	0	O+P-	-0.8960573476702509	0.5	-0.5
93	101	13	10	59	1.0	10	悉	息	熟悉	熟息	2	1	both_sim	1	1	3.1697	4.2812	3.0867	0.0	1	15521	熟息	熟悉	0	L	0	L	1537	1	0	0	O+P+	-0.6506180871828237	0.5	0.5
100	101	14	4	5	1.0	4	栖	样	栖	样	1	2	orth_sim	1	0	2.2148	5.2079	1.5682	3.3701	1	5479	样	栖	0	L	0	L	547	1	0	0	O+P-	-1.8281535648994516	0.5	-0.5
107	101	15	5	6	1.0	5	仗	壹	仗	壹	1	4	both_dif	0	0	2.9201	1.1461	2.4265	0.4771	1	6154	壹	仗	1	R	1	R	779	1	0	0	O-P-	-1.2836970474967908	-0.5	-0.5
125	101	17	5	66	1.0	5	王	网	王	网	1	3	phon_sim	0	1	3.9882	3.7744	3.3122	2.9133	1	5732	网	王	0	L	0	L	464	1	0	0	O-P+	-2.1551724137931036	-0.5	0.5
130	101	18	3	24	1.0	3	眩	迂	头晕目眩	头晕目迂	4	4	both_dif	0	0	2.2355	1.7324	1.1761	0.0	1	10194	头晕目迂	头晕目眩	0	L	0	L	1368	1	1	1	O-P-	-0.7309941520467836	-0.5	-0.5
136	101	19	2	95	1.0	2	芹	苇	芹菜	苇菜	2	2	orth_sim	1	0	1.8062	1.7404	1.5682	0.0	1	10184	苇菜	芹菜	0	L	0	L	1201	1	0	0	O+P-	-0.832639467110741	0.5	-0.5
150	101	20	8	29	1.0	8	沼	昭	沼泽,	昭泽	3	1	both_sim	1	1	2.6365	2.3284	0.0	0.0	1	12848	昭泽,	沼泽,	1	R	1	R	968	1	1	1	O+P+	-1.0330578512396693	0.5	0.5
165	101	21	11	16	1.0	11	苛	厌	苛刻.	厌刻	3	4	both_dif	0	0	2.4298	3.8762	0.0	0.0	1	12194	厌刻.	苛刻.	1	R	1	R	1642	1	1	1	O-P-	-0.6090133982947625	-0.5	-0.5
173	101	22	7	85	1.0	7	纹	纸	皱纹	皱纸	2	2	orth_sim	1	0	3.5379	3.7178	2.0828	0.0	1	9213	皱纸	皱纹	0	L	0	L	1074	1	1	1	O+P-	-0.931098696461825	0.5	-0.5
201	101	25	18	91	1.0	18	哦	额	哦,	额	2	3	phon_sim	0	1	4.8412	3.3137	0.0	2.5682	1	22457	额,	哦,	1	R	1	R	2274	1	1	1	O-P+	-0.4397537379067722	-0.5	0.5
211	101	26	4	53	1.0	4	沐	汨	沐浴	汨浴	2	1	both_sim	1	1	2.1335	0.6021	2.0899	0.0	1	10784	汨浴	沐浴	1	R	1	R	1032	1	1	1	O+P+	-0.9689922480620154	0.5	0.5
225	101	27	8	10	1.0	8	温	讫	温哥华	讫哥华	3	4	both_dif	0	0	3.6838	0.6021	1.9445	0.0	1	9990	讫哥华	温哥华	0	L	0	L	1579	1	1	1	O-P-	-0.6333122229259025	-0.5	-0.5
235	101	28	8	25	1.0	8	熬	痉	熬夜	痉夜	2	4	both_dif	0	0	3.006	2.2148	2.1004	0.0	1	11347	痉夜	熬夜	1	R	1	R	801	1	0	0	O-P-	-1.2484394506866416	-0.5	-0.5
242	101	29	4	38	1.0	4	活	浊	生活	生浊	2	1	both_sim	1	1	4.5825	1.5798	4.2019	0.0	1	8118	生浊	生活	1	R	1	R	695	1	1	1	O+P+	-1.4388489208633093	0.5	0.5
251	101	30	5	69	1.0	5	柱	述	圆柱	圆述	2	3	phon_sim	0	1	2.7412	3.386	1.1761	0.0	1	8475	圆述	圆柱	0	L	0	L	822	1	0	0	O-P+	-1.2165450121654502	-0.5	0.5
261	101	31	6	90	1.0	6	漆	漾	一片漆黑.	一片漾黑	5	2	orth_sim	1	0	2.8669	1.4624	0.0	0.0	1	7161	一片漾黑.	一片漆黑.	0	L	0	L	927	1	0	0	O+P-	-1.0787486515641855	0.5	-0.5
270	101	32	8	37	1.0	8	嗜	嗡	嗜好.	嗡好	3	2	orth_sim	1	0	2.49	2.3802	0.0	0.0	1	9098	嗡好.	嗜好.	1	R	1	R	1095	1	0	0	O+P-	-0.91324200913242	0.5	-0.5
276	101	33	5	84	1.0	5	文	吻	文化	吻化	2	3	phon_sim	0	1	4.1522	3.6552	2.8762	0.0	1	6842	吻化	文化	0	L	0	L	569	1	1	1	O-P+	-1.757469244288225	-0.5	0.5
284	101	34	6	83	1.0	6	响	晌	响了.	晌了	3	1	both_sim	1	1	3.7749	0.4771	0.0	0.0	1	6720	晌了.	响了.	1	R	1	R	717	1	0	0	O+P+	-1.394700139470014	0.5	0.5
306	101	37	6	88	1.0	6	硌	铬	硌	铬	1	1	both_sim	1	1	0.8451	1.4314	0.8451	1.3979	1	9706	铬	硌	1	R	1	R	1137	1	0	0	O+P+	-0.8795074758135444	0.5	0.5
313	101	38	4	93	1.0	4	肢	值	四肢	四值	2	3	phon_sim	0	1	2.7889	3.8727	2.0607	0.0	1	11711	四值	四肢	0	L	0	L	590	1	0	0	O-P+	-1.694915254237288	-0.5	0.5
329	101	39	7	62	1.0	7	滴	淌	滴血	淌血	2	2	orth_sim	1	0	3.0378	2.1614	0.0	0.0	1	8829	淌血	滴血	0	L	0	L	1074	1	1	1	O+P-	-0.931098696461825	0.5	-0.5
342	101	41	6	44	1.0	6	详	乾	详细	乾细	2	3	phon_sim	0	1	3.0689	2.0253	2.8537	0.0	1	17535	乾细	详细	1	R	1	R	779	1	1	1	O-P+	-1.2836970474967908	-0.5	0.5
358	101	42	8	31	1.0	8	温	揾	温柔.	揾柔	3	1	both_sim	1	1	3.6838	0.301	0.0	0.0	1	8619	揾柔.	温柔.	0	L	0	L	842	1	1	1	O+P+	-1.187648456057007	0.5	0.5
368	101	43	9	77	1.0	9	碗	滋	碗	滋	1	4	both_dif	0	0	3.0588	3.0748	2.9112	2.0569	1	12171	滋	碗	0	L	0	L	443	1	0	0	O-P-	-2.2573363431151243	-0.5	-0.5
377	101	45	4	47	1.0	4	烛	冲	蜡烛	蜡冲	2	2	orth_sim	1	0	2.8235	3.8763	2.7101	0.0	1	7695	蜡冲	蜡烛	1	R	1	R	1895	1	1	1	O+P-	-0.5277044854881267	0.5	-0.5
384	101	46	5	7	1.0	5	耳	尔	耳机	尔机	2	3	phon_sim	0	1	3.5981	4.6158	2.2553	0.0	1	9726	尔机	耳机	1	R	1	R	547	1	1	1	O-P+	-1.8281535648994516	-0.5	0.5
399	101	48	7	49	1.0	7	鸭	鸿	鸭	鸿	1	2	orth_sim	1	0	2.8739	1.699	2.3284	0.9542	1	8641	鸿	鸭	1	R	1	R	1117	1	1	1	O+P-	-0.8952551477170994	0.5	-0.5
406	101	49	5	78	1.0	5	拒	剜	拒绝	剜绝	2	4	both_dif	0	0	3.5422	0.9542	3.4594	0.0	1	6783	剜绝	拒绝	1	R	1	R	843	1	1	1	O-P-	-1.1862396204033214	-0.5	-0.5
410	101	50	2	60	1.0	2	分	珍	分手	珍手	2	3	phon_sim	0	1	4.6848	3.4747	3.3341	0.0	0	3291	珍手	分手	1	R	1	R	632	1	1	1	O-P+	-1.5822784810126582	-0.5	0.5
420	101	51	8	18	1.0	8	唯	为	唯唯诺诺。	为为诺诺	5	3	phon_sim	0	1	3.9755	5.3966	0.0	0.0	1	8707	为为诺诺。	唯唯诺诺。	1	R	1	R	1474	1	1	1	O-P+	-0.6784260515603799	-0.5	0.5
427	101	52	6	68	1.0	6	噪	音	噪音.	音音	3	4	both_dif	0	0	2.6902	4.2608	0.0	0.0	1	6150	音音.	噪音.	0	L	0	L	758	1	0	0	O-P-	-1.3192612137203166	-0.5	-0.5
437	101	53	9	75	1.0	9	健	挺	健身.	挺身	3	2	orth_sim	1	0	3.6176	3.9033	0.0	1.5051	1	8323	挺身.	健身.	1	R	1	R	590	1	0	0	O+P-	-1.694915254237288	0.5	-0.5
444	101	54	6	23	1.0	6	守	寿	守	寿	1	1	both_sim	1	1	3.7948	2.8299	3.0997	2.5159	0	13435	寿	守	1	R	0	L	653	0	0	0	O+P+	-1.5313935681470139	0.5	0.5
452	101	55	7	67	1.0	7	中	仲	中间	仲间	2	1	both_sim	1	1	4.8435	2.0645	3.2025	0.0	1	7957	仲间	中间	1	R	1	R	696	1	0	0	O+P+	-1.4367816091954022	0.5	0.5
462	101	56	8	52	1.0	8	仪	仗	仪.	仗	2	2	orth_sim	1	0	3.3851	2.9201	0.0	2.4265	1	8729	仗.	仪.	0	L	0	L	864	1	0	0	O+P-	-1.1574074074074074	0.5	-0.5
471	101	57	8	46	1.0	8	持	远	主持人。	主远人	4	4	both_dif	0	0	4.2381	4.3334	0.0	0.0	1	8739	主远人。	主持人。	1	R	1	R	1243	1	1	1	O-P-	-0.8045052292839904	-0.5	-0.5
478	101	58	6	9	1.0	6	思	施	思念	施念	2	3	phon_sim	0	1	4.5423	3.5138	2.2148	0.0	1	10883	施念	思念	1	R	1	R	822	1	0	0	O-P+	-1.2165450121654502	-0.5	0.5
485	101	59	5	41	1.0	5	挤	剂	挤	剂	1	3	phon_sim	0	1	3.1578	3.4646	2.9528	2.9609	1	7880	剂	挤	0	L	0	L	716	1	1	1	O-P+	-1.3966480446927374	-0.5	0.5
497	101	60	8	30	1.0	8	抬	荫	抬	荫	1	4	both_dif	0	0	3.1749	1.959	3.0212	1.301	1	13297	荫	抬	1	R	1	R	738	1	0	0	O-P-	-1.3550135501355014	-0.5	-0.5
508	101	61	6	35	1.0	6	蹭	嗳	蹭	嗳	1	2	orth_sim	1	0	2.4609	1.3802	2.1523	1.3802	1	8873	嗳	蹭	1	R	1	R	927	1	1	1	O+P-	-1.0787486515641855	0.5	-0.5
517	101	62	6	27	1.0	6	椅	倌	椅子.	倌子	3	2	orth_sim	1	0	3.3255	1.0792	0.0	0.0	1	6711	倌子.	椅子.	0	L	0	L	568	1	0	0	O+P-	-1.7605633802816902	0.5	-0.5
526	101	64	7	42	1.0	7	缉	几	缉	几	1	3	phon_sim	0	1	2.8274	4.4647	1.8129	4.3508	1	13380	几	缉	1	R	1	R	906	1	0	0	O-P+	-1.1037527593818985	-0.5	0.5
540	101	65	11	13	1.0	11	提	忘	提	忘	1	4	both_dif	0	0	4.3807	4.1108	3.7229	3.8525	1	13656	忘	提	0	L	0	L	590	1	0	0	O-P-	-1.694915254237288	-0.5	-0.5
552	101	67	7	14	1.0	7	溪	昔	溪流	昔流	2	3	phon_sim	0	1	2.5079	2.4362	1.2553	0.0	1	10367	昔流	溪流	0	L	0	L	1032	1	1	1	O-P+	-0.9689922480620154	-0.5	0.5
563	101	68	8	34	1.0	8	搪	塘	搪塞	塘塞	2	1	both_sim	1	1	1.716	2.2856	1.5315	0.0	1	14251	塘塞	搪塞	0	L	0	L	1601	1	0	0	O+P+	-0.6246096189881324	0.5	0.5
571	101	69	6	56	1.0	6	铝	铬	铝	铬	1	2	orth_sim	1	0	2.0828	1.4314	1.9395	1.3979	1	11988	铬	铝	0	L	0	L	2401	1	1	1	O+P-	-0.41649312786339027	0.5	-0.5
583	101	70	10	76	1.0	10	憎	轧	憎恶。	轧恶	3	4	both_dif	0	0	2.7067	1.7709	0.0	0.0	1	12570	轧恶。	憎恶。	1	R	1	R	863	1	0	0	O-P-	-1.1587485515643106	-0.5	-0.5
589	101	71	5	28	1.0	5	沿	泱	沿岸	泱岸	2	1	both_sim	1	1	2.943	0.7782	1.5441	0.0	1	8587	泱岸	沿岸	0	L	0	L	1410	1	0	0	O+P+	-0.7092198581560284	0.5	0.5
596	101	72	4	48	1.0	4	根	感	根.	感	2	3	phon_sim	0	1	4.2766	4.7857	0.0	3.4911	1	5167	感.	根.	0	L	0	L	484	1	0	0	O-P+	-2.0661157024793386	-0.5	0.5
604	101	73	7	89	1.0	7	昏	杳	昏暗	杳暗	2	2	orth_sim	1	0	3.273	1.3424	1.6128	0.0	1	8739	杳暗	昏暗	1	R	1	R	821	1	1	1	O+P-	-1.218026796589525	0.5	-0.5
614	101	74	8	4	1.0	8	滥	溢	滥用.	溢用	3	2	orth_sim	1	0	2.7404	2.4698	0.0	0.0	1	12857	溢用.	滥用.	1	R	1	R	1831	1	1	1	O+P-	-0.5461496450027308	0.5	-0.5
617	101	75	2	54	1.0	2	俯	副	俯身	副身	2	3	phon_sim	0	1	2.4829	3.574	1.4914	0.0	1	7378	副身	俯身	1	R	1	R	1348	1	1	1	O-P+	-0.7418397626112759	-0.5	0.5
636	101	77	6	81	1.0	6	弹	郁	子弹	子郁	2	4	both_dif	0	0	4.0592	3.0993	3.3959	0.0	1	9108	子郁	子弹	0	L	0	L	548	1	1	1	O-P-	-1.8248175182481752	-0.5	-0.5
649	101	78	9	40	1.0	9	红	淤	粉红	粉淤	2	4	both_dif	0	0	3.8742	2.2967	2.415	0.0	1	9872	粉淤	粉红	1	R	1	R	758	1	0	0	O-P-	-1.3192612137203166	-0.5	-0.5
655	101	79	4	94	1.0	4	昆	昱	昆虫.	昱虫	3	2	orth_sim	1	0	2.7259	1.3222	0.0	0.0	1	5010	昱虫.	昆虫.	1	R	1	R	885	1	0	0	O+P-	-1.1299435028248588	0.5	-0.5
661	101	80	5	36	1.0	5	饺	搅	饺子	搅子	2	3	phon_sim	0	1	1.9542	3.0763	1.7324	0.0	1	6618	搅子	饺子	0	L	0	L	674	1	1	1	O-P+	-1.4836795252225519	-0.5	0.5
679	101	83	9	87	1.0	9	慰	沧	安慰	安沧	2	4	both_dif	0	0	3.1284	1.6021	2.8927	0.0	1	12619	安沧	安慰	0	L	0	L	968	1	0	0	O-P-	-1.0330578512396693	-0.5	-0.5
709	101	86	7	55	1.0	7	荞	婴	荞麦	婴麦	2	4	both_dif	0	0	1.415	3.2243	1.3979	0.0	1	9576	婴麦	荞麦	1	R	1	R	1221	1	0	0	O-P-	-0.819000819000819	-0.5	-0.5
717	101	87	6	79	1.0	6	哇	桂	哇	桂	1	2	orth_sim	1	0	4.0156	2.3802	3.9979	1.5051	1	10603	桂	哇	0	L	0	L	1243	1	1	1	O+P-	-0.8045052292839904	0.5	-0.5
724	101	88	1	61	1.0	1	浩	郝	浩浩荡荡	郝郝荡荡	4	3	phon_sim	0	1	2.7284	2.301	0.301	0.0	1	4774	郝郝荡荡	浩浩荡荡	0	L	0	L	842	1	0	0	O-P+	-1.187648456057007	-0.5	0.5
734	101	89	6	39	1.0	6	诽	废	诽谤	废谤	2	3	phon_sim	0	1	2.2201	3.5746	2.1761	0.0	1	8054	废谤	诽谤	0	L	0	L	1200	1	0	0	O-P+	-0.8333333333333334	-0.5	0.5
744	101	90	8	86	1.0	8	训	讹	训	讹	1	2	orth_sim	1	0	3.7087	1.3617	2.2355	0.6021	1	11145	讹	训	1	R	1	R	1074	1	0	0	O+P-	-0.931098696461825	0.5	-0.5
753	101	91	6	70	1.0	6	肢	筵	肢体	筵体	2	4	both_dif	0	0	2.7889	1.2788	2.29	0.0	1	8547	筵体	肢体	1	R	1	R	842	1	1	1	O-P-	-1.187648456057007	-0.5	-0.5
763	101	92	8	57	1.0	8	棋	骐	下棋	下骐	2	1	both_sim	1	1	2.8228	0.9031	1.9823	0.0	1	10786	下骐	下棋	0	L	0	L	927	1	0	0	O+P+	-1.0787486515641855	0.5	0.5
769	101	93	4	45	1.0	4	温	闻	温度	闻度	2	3	phon_sim	0	1	3.6838	3.8913	2.6304	0.0	1	8164	闻度	温度	0	L	0	L	527	1	0	0	O-P+	-1.8975332068311195	-0.5	0.5
781	101	94	7	20	1.0	7	岗	意	岗	意	1	4	both_dif	0	0	2.7832	5.0143	2.0792	3.292	1	7933	意	岗	0	L	0	L	464	1	1	1	O-P-	-2.1551724137931036	-0.5	-0.5
786	101	95	3	63	1.0	3	宛	苛	宛如	苛如	2	2	orth_sim	1	0	2.1399	2.4298	1.699	0.0	1	7313	苛如	宛如	1	R	1	R	1053	1	0	0	O+P-	-0.949667616334283	0.5	-0.5
813	102	3	3	84	1.0	3	殃	洋	殃及	洋及	2	3	phon_sim	0	1	2.0569	3.3473	1.3222	0.0	1	5583	洋及	殃及	0	L	0	L	696	1	0	0	O-P+	-1.4367816091954022	-0.5	0.5
829	102	5	5	87	1.0	5	拮	按	拮据。	按据	3	2	orth_sim	1	0	1.1139	3.8345	0.0	0.0	1	9734	按据。	拮据。	0	L	0	L	1643	1	0	0	O+P-	-0.6086427267194157	0.5	-0.5
835	102	6	5	30	1.0	5	酩	明	酩酊大醉。	明酊大醉	5	3	phon_sim	0	1	1.7993	4.8435	0.0	0.0	1	9083	明酊大醉。	酩酊大醉。	1	R	1	R	2276	1	0	0	O-P+	-0.43936731107205623	-0.5	0.5
857	102	8	10	0	1.0	10	枉	狙	冤枉,	冤狙	3	4	both_dif	0	0	2.2041	2.6875	0.0	0.0	0	22250	冤狙,	冤枉,	0	L	0	L	758	1	0	0	O-P-	-1.3192612137203166	-0.5	-0.5
861	102	9	2	72	1.0	2	治	阉	治病,	阉病	3	4	both_dif	0	0	4.077	2.1303	0.0	0.0	1	5100	阉病,	治病,	0	L	0	L	485	1	1	1	O-P-	-2.0618556701030926	-0.5	-0.5
868	102	10	4	2	1.0	4	央	泱	中央	中泱	2	1	both_sim	1	1	2.9499	0.7782	2.9053	0.0	1	13534	中泱	中央	0	L	0	L	822	1	1	1	O+P+	-1.2165450121654502	0.5	0.5
891	102	13	10	42	1.0	10	悉	恙	熟悉	熟恙	2	2	orth_sim	1	0	3.1697	2.2068	3.0867	0.0	1	22683	熟恙	熟悉	0	L	0	L	1222	1	1	1	O+P-	-0.8183306055646481	0.5	-0.5
898	102	14	4	13	1.0	4	栖	七	栖	七	1	3	phon_sim	0	1	2.2148	3.6121	1.5682	3.2949	1	5283	七	栖	1	R	1	R	422	1	1	1	O-P+	-2.3696682464454977	-0.5	0.5
905	102	15	5	85	1.0	5	仗	丈	仗	丈	1	1	both_sim	1	1	2.9201	3.795	2.4265	1.3979	1	14250	丈	仗	0	L	0	L	779	1	0	0	O+P+	-1.2836970474967908	0.5	0.5
918	102	16	11	48	1.0	11	殃	汽	遭殃	遭汽	2	4	both_dif	0	0	2.0569	3.5573	1.9085	0.0	1	11933	遭汽	遭殃	1	R	1	R	1032	1	0	0	O-P-	-0.9689922480620154	-0.5	-0.5
925	102	17	5	60	1.0	5	王	骥	王	骥	1	4	both_dif	0	0	3.9882	0.699	3.3122	0.4771	1	6566	骥	王	1	R	1	R	569	1	1	1	O-P-	-1.757469244288225	-0.5	-0.5
930	102	18	3	90	1.0	3	眩	铉	头晕目眩	头晕目铉	4	1	both_sim	1	1	2.2355	2.1614	1.1761	0.0	1	6800	头晕目铉	头晕目眩	0	L	0	L	1011	1	1	1	O+P+	-0.9891196834817013	0.5	0.5
936	102	19	2	75	1.0	2	芹	欣	芹菜	欣菜	2	3	phon_sim	0	1	1.8062	3.2718	1.5682	0.0	1	8816	欣菜	芹菜	1	R	1	R	1665	1	1	1	O-P+	-0.6006006006006006	-0.5	0.5
965	102	21	11	39	1.0	11	苛	苑	苛刻.	苑刻	3	2	orth_sim	1	0	2.4298	1.9731	0.0	0.0	1	14167	苑刻.	苛刻.	0	L	0	L	906	1	0	0	O+P-	-1.1037527593818985	0.5	-0.5
973	102	22	7	20	1.0	7	纹	丸	皱纹	皱丸	2	3	phon_sim	0	1	3.5379	2.8871	2.0828	0.0	1	11450	皱丸	皱纹	0	L	0	L	443	1	1	1	O-P+	-2.2573363431151243	-0.5	0.5
998	102	26	4	49	1.0	4	沐	汪	沐浴	汪浴	2	2	orth_sim	1	0	2.1335	2.4048	2.0899	0.0	0	10100	汪浴	沐浴	0	L	0	L	1707	1	0	0	O+P-	-0.5858230814294083	0.5	-0.5
1008	102	27	8	22	1.0	8	温	湾	温哥华	湾哥华	3	1	both_sim	1	1	3.6838	2.8899	1.9445	0.0	1	13000	湾哥华	温哥华	0	L	0	L	1897	1	0	0	O+P+	-0.5271481286241434	0.5	0.5
1016	102	29	4	69	1.0	4	活	恬	生活	生恬	2	2	orth_sim	1	0	4.5825	1.301	4.2019	0.0	1	65950	生恬	生活	1	R	1	R	779	1	1	1	O+P-	-1.2836970474967908	0.5	-0.5
1030	102	31	6	29	1.0	6	漆	七	一片漆黑.	一片七黑	5	3	phon_sim	0	1	2.8669	3.6121	0.0	0.0	1	6267	一片七黑.	一片漆黑.	0	L	0	L	527	1	0	0	O-P+	-1.8975332068311195	-0.5	0.5
1039	102	32	8	61	1.0	8	嗜	式	嗜好.	式好	3	3	phon_sim	0	1	2.49	4.0843	0.0	0.0	1	10017	式好.	嗜好.	0	L	0	L	653	1	1	1	O-P+	-1.5313935681470139	-0.5	0.5
1045	102	33	5	14	1.0	5	文	躯	文化	躯化	2	4	both_dif	0	0	4.1522	2.5599	2.8762	0.0	1	9767	躯化	文化	1	R	1	R	759	1	1	1	O-P-	-1.3175230566534915	-0.5	-0.5
1053	102	34	6	41	1.0	6	响	呐	响了.	呐了	3	2	orth_sim	1	0	3.7749	3.2266	0.0	0.0	1	8500	呐了.	响了.	0	L	0	L	590	1	1	1	O+P-	-1.694915254237288	0.5	-0.5
1064	102	36	6	8	1.0	6	桂	桧	桂	桧	1	1	both_sim	1	1	2.3802	0.301	1.5051	0.301	1	10683	桧	桂	1	R	1	R	843	1	1	1	O+P+	-1.1862396204033214	0.5	0.5
1072	102	37	6	28	1.0	6	硌	铵	硌	铵	1	2	orth_sim	1	0	0.8451	1.6021	0.8451	1.2304	1	8151	铵	硌	0	L	0	L	822	1	1	1	O+P-	-1.2165450121654502	0.5	-0.5
1093	102	41	6	23	1.0	6	详	抑	详细	抑细	2	4	both_dif	0	0	3.0689	3.0039	2.8537	0.0	1	14767	抑细	详细	1	R	1	R	1644	1	1	1	O-P-	-0.6082725060827251	-0.5	-0.5
1109	102	42	8	33	1.0	8	温	揭	温柔.	揭柔	3	2	orth_sim	1	0	3.6838	3.232	0.0	0.0	1	8300	揭柔.	温柔.	1	R	1	R	633	1	0	0	O+P-	-1.5797788309636651	0.5	-0.5
1121	102	45	4	79	1.0	4	烛	酌	蜡烛	蜡酌	2	3	phon_sim	0	1	2.8235	1.7634	2.7101	0.0	1	5050	蜡酌	蜡烛	1	R	1	R	674	1	1	1	O-P+	-1.4836795252225519	-0.5	0.5
1128	102	46	5	18	1.0	5	耳	叫	耳机	叫机	2	4	both_dif	0	0	3.5981	4.6156	2.2553	0.0	1	8833	叫机	耳机	1	R	1	R	1096	1	0	0	O-P-	-0.9124087591240876	-0.5	-0.5
1141	102	47	9	65	1.0	9	饿	娣	饿	娣	1	2	orth_sim	1	0	3.5232	1.7482	3.4688	0.301	1	10367	娣	饿	0	L	0	L	590	1	1	1	O+P-	-1.694915254237288	0.5	-0.5
1150	102	48	7	62	1.0	7	鸭	丫	鸭	丫	1	3	phon_sim	0	1	2.8739	2.705	2.3284	2.2068	1	9533	丫	鸭	1	R	1	R	695	1	0	0	O-P+	-1.4388489208633093	-0.5	0.5
1157	102	49	5	27	1.0	5	拒	巨	拒绝	巨绝	2	1	both_sim	1	1	3.5422	3.4947	3.4594	0.0	1	8583	巨绝	拒绝	1	R	1	R	928	1	0	0	O+P+	-1.0775862068965518	0.5	0.5
1161	102	50	2	43	1.0	2	分	揠	分手	揠手	2	4	both_dif	0	0	4.6848	0.301	3.3341	0.0	1	9084	揠手	分手	0	L	0	L	695	1	0	0	O-P-	-1.4388489208633093	-0.5	-0.5
1176	102	51	8	71	1.0	8	唯	衷	唯唯诺诺。	衷衷诺诺	5	4	both_dif	0	0	3.9755	2.8209	0.0	0.0	1	11900	衷衷诺诺。	唯唯诺诺。	0	L	0	L	1623	1	1	1	O-P-	-0.6161429451632778	-0.5	-0.5
1183	102	52	6	9	1.0	6	噪	燥	噪音.	燥音	3	1	both_sim	1	1	2.6902	2.4548	0.0	0.0	1	8132	燥音.	噪音.	0	L	0	L	1390	1	0	0	O+P+	-0.7194244604316546	0.5	0.5
1193	102	53	9	51	1.0	9	健	剑	健身.	剑身	3	3	phon_sim	0	1	3.6176	3.187	0.0	0.0	1	9799	剑身.	健身.	1	R	1	R	823	1	0	0	O-P+	-1.2150668286755772	-0.5	0.5
