	participant	sentence_number	sentence_index	sentence_order	critical_reached	critical_index	critical_target	critical_distractor	critical_target_word	critical_distractor_word	target_length	condition	condition_label	ortho_similarity	phono_similarity	critical_target_freq	critical_distractor_freq	critical_target_word_freq	critical_distractor_word_freq	block_acc	block_RT	pair_distractor	pair_correct	target_pos	target_pos_verbose	resp	resp_verbose	resp_RT	resp_acc	prev_pos	prev_resp
9	101	1	9	0	1.0	9	柱	天	擎	天述	1.0	3	phon_sim	0	1	2.7412	5.104	1.0792	0.0	1	15423	呢	擎	0	L	0	L	694.97	1	1	1
20	101	2	6	72	1.0	6	文	作	的	作钙	1.0	4	both_dif	0	0	4.1522	4.8336	6.226	0.0	1	8144	所	的	0	L	0	L	359.17	1	1	1
26	101	3	3	21	1.0	3	殃	映	殃及	映及	2.0	2	orth_sim	1	0	2.0569	2.9689	1.3222	0.0	1	6352	映及	殃及	0	L	0	L	1684.89	1	1	1
36	101	5	5	8	1.0	5	拮	诘	拮据。	诘据	3.0	1	both_sim	1	1	1.1139	1.2304	0.0	0.0	1	8443	诘据。	拮据。	1	R	1	R	3494.61	1	0	0
46	101	7	5	32	1.0	5	息	鼻	连	鼻院	1.0	4	both_dif	0	0	4.2812	3.3753	3.8868	0.0	0	7207	从	连	1	R	0	L	948.1	0	0	0
56	101	9	1	73	1.0	1	治	置	就要	置病	2.0	3	phon_sim	0	1	4.077	3.9547	3.4598	0.0	1	4227	转向	就要	0	L	0	L	632.32	1	0	0
63	101	10	3	19	1.0	3	央	中	的是	中蓟	2.0	4	both_dif	0	0	2.9499	4.8435	0.0	0.0	1	8967	也是	的是	0	L	0	L	589.84	1	1	1
72	101	11	3	1	1.0	3	汪	注	就	注注	1.0	2	orth_sim	1	0	2.4048	4.1835	5.4419	0.0	1	8288	某	就	0	L	0	L	463.27	1	1	1
93	101	13	10	59	1.0	10	悉	息	熟悉	熟息	2.0	1	both_sim	1	1	3.1697	4.2812	3.0867	0.0	1	15521	熟息	熟悉	0	L	0	L	1537.84	1	0	0
99	101	14	3	5	1.0	3	栖	样	两	样	1.0	2	orth_sim	1	0	2.2148	5.2079	4.5632	3.3701	1	5479	不	两	0	L	0	L	526.36	1	1	1
