Critical:	枉	wang3	Aggregate: 12.446257633619883	1.5563
Both sim:	旺	wang4	Score: 84.5026	2.0128
Ortho sim:	析	xi1	Score: 71.8553	1.9731
Phono sim:	亡	wang2	Score: 90.9732	2.3927
Both diff:	狙	ju1	Score: 85.587	1.3424

Critical:	息	xi1	Aggregate: 12.284568756716576	1.9191
Both sim:	悉	xi1	Score: 79.0287	1.4771
Ortho sim:	恙	yang4	Score: 78.6469	0.7782
Phono sim:	戌	xu1	Score: 95.532	0.0
Both diff:	院	yuan4	Score: 82.2981	2.752

Critical:	硝	xiao1	Aggregate: 11.345764275778185	1.5315
Both sim:	销	xiao1	Score: 81.6176	1.6812
Ortho sim:	硬	ying4	Score: 73.429	3.0414
Phono sim:	削	xiao1	Score: 92.9972	2.2122
Both diff:	隐	yin3	Score: 76.5744	2.2742

Critical:	治	zhi4	Aggregate: 10.402752739414652	3.0406
Both sim:	沼	zhao3	Score: 78.4634	1.9494
Ortho sim:	沿	yan2	Score: 78.4203	2.2504
Phono sim:	置	zhi4	Score: 96.898	2.5955
Both diff:	阉	yan1	Score: 78.0193	1.9191

Critical:	泱	yang1	Aggregate: 11.096931348861073	0.301
Both sim:	央	yang1	Score: 88.2353	1.7709
Ortho sim:	沸	fei4	Score: 71.1352	0.7782
Phono sim:	佯	yang2	Score: 87.6889	1.2553
Both diff:	蓟	ji4	Score: 90.2801	1.5185

Critical:	济	ji4	Aggregate: 9.944038665897713	2.0453
Both sim:	齐	qi2	Score: 81.4245	2.8615
Ortho sim:	洋	yang2	Score: 76.1062	2.2967
Phono sim:	剂	ji4	Score: 100.0	2.9609
Both diff:	豌	wan1	Score: 82.1507	0.0

Critical:	汪	wang1	Aggregate: 11.045635754293448	1.9445
Both sim:	王	wang2	Score: 80.9732	3.3122
Ortho sim:	沪	hu4	Score: 72.848	0.6021
Phono sim:	剜	wan1	Score: 89.9216	0.9542
Both diff:	酗	xu4	Score: 90.1259	0.4771

Critical:	吹	chui1	Aggregate: 10.136437205474015	3.266
Both sim:	吱	zhi1	Score: 73.0366	1.6902
Ortho sim:	听	yin3	Score: 71.0302	4.7395
Phono sim:	摧	cui1	Score: 91.2623	1.4914
Both diff:	摁	en4	Score: 76.2442	1.7559

Critical:	悉	xi1	Aggregate: 9.069196014023786	1.4771
Both sim:	息	xi1	Score: 79.0287	1.9191
Ortho sim:	恙	yang4	Score: 69.4403	0.7782
Phono sim:	戌	xu1	Score: 95.5989	0.0
Both diff:	掩	yan3	Score: 75.7904	1.7324

Critical:	栖	qi1	Aggregate: 9.504754732267285	1.5682
Both sim:	硒	xi1	Score: 73.185	0.8451
Ortho sim:	样	yang4	Score: 78.7091	3.3701
Phono sim:	七	qi1	Score: 98.8235	3.2949
Both diff:	院	yuan4	Score: 82.4673	2.752

Critical:	仗	zhang4	Aggregate: 9.189163283109494	2.4265
Both sim:	丈	zhang4	Score: 79.4118	1.3979
Ortho sim:	仪	yi2	Score: 74.6626	2.5105
Phono sim:	障	zhang4	Score: 99.0156	2.1959
Both diff:	壹	yi1	Score: 88.1992	0.4771

Critical:	缔	di4	Aggregate: 8.376175759747591	0.6021
Both sim:	啼	ti2	Score: 78.9035	1.0414
Ortho sim:	缘	yuan2	Score: 64.9871	2.2504
Phono sim:	剃	ti4	Score: 93.0916	2.4216
Both diff:	羊	yang2	Score: 73.8937	2.8432

Critical:	秧	yang1	Aggregate: 9.035876382585124	0.301
Both sim:	殃	yang1	Score: 75.8824	0.7782
Ortho sim:	秩	zhi4	Score: 70.769	0.0
Phono sim:	洋	yang2	Score: 91.1202	2.2967
Both diff:	汽	qi4	Score: 87.5326	1.6532

Critical:	伪	wei3	Aggregate: 9.077990946206429	1.6628
Both sim:	为	wei2	Score: 80.9732	4.6586
Ortho sim:	仲	zhong4	Score: 68.3326	1.1761
Phono sim:	鲔	wei3	Score: 98.4244	1.0414
Both diff:	荆	jing1	Score: 83.3523	0.6021

Critical:	王	wang2	Aggregate: 9.026547619384946	3.3122
Both sim:	汪	wang1	Score: 80.9732	1.9445
