息	xi1
悉	xi1
恙	yang4
戌	xu1
院	yuan4

枉	wang3
旺	wang4
析	xi1
亡	wang2
狙	ju1

治	zhi4
沼	zhao3
沿	yan2
置	zhi4
阉	yan1

泱	yang1
央	yang1
沸	fei4
佯	yang2
蓟	ji4

汪	wang1
王	wang2
注	zhu4
剜	wan1
酗	xu4

吹	chui1
吱	zhi1
听	ting1
摧	cui1
摁	en4

悉	xi1
息	xi1
恙	yang4
希	xi1
掩	yan3

栖	qi1
硒	xi1
样	yang4
七	qi1
院	yuan4

仗	zhang4
丈	zhang4
仪	yi2
障	zhang4
壹	yi1

秧	yang1
殃	yang1
秩	zhi4
洋	yang2
汽	qi4

王	wang2
汪	wang1
主	zhu3
网	wang3
骥	ji4

铉	xuan4
眩	xuan4
铱	yi1
渲	xuan4
迂	yu1

芯	xin1
芹	qin2
苇	wei3
欣	xin1
液	ye4

沼	zhao3
昭	zhao1
沿	yan2
赵	zhao4
铟	yin1

苛	ke1
荷	he2
苑	yuan4
抠	kou1
厌	yan4

纹	wen2
炆	wen2
纸	zhi3
丸	wan2
序	xu4

钦	qin1
欣	xin1
钥	yao4
吣	qin4
霭	ai3

嗲	dia3
喋	die2
哆	duo1
达	da2
赢	ying2

哦	o2
娥	e2
唤	huan4
额	e2
涮	shuan4

汨	mi4
沐	mu4
汪	wang1
剃	ti4
昂	ang2

湾	wan1
温	wen1
滞	zhi4
剜	wan1
讫	qi4

熬	ao1
獒	ao2
熊	xiong2
凹	ao1
痉	jing4

活	huo2
浊	zhuo2
恬	tian2
郭	guo1
岸	an4

驻	zhu4
柱	zhu4
往	wang3
述	shu4
严	yan2

漆	qi1
溪	xi1
漾	yang4
七	qi1
瓮	weng4

嗜	shi4
嗤	chi1
嗡	weng1
式	shi4
阳	yang2

汶	wen4
文	wen2
汝	ru3
吻	wen3
躯	qu1

响	xiang3
晌	shang3
呐	na4
抢	qiang1
邬	wu1

桔	ju2
洁	jie2
桉	an1
攫	jue2
蕴	yun4

桂	gui4
桧	gui4
佳	jia1
跪	gui4
儿	er2

铬	ge4
硌	ge4
铵	an3
刻	ke4
臃	yong1

哟	yo1
呦	you1
响	xiang3
摇	yao2
逛	guang4

枝	zhi1
肢	zhi1
技	ji4
值	zhi2
雁	yan4

吱	zhi1
肢	zhi1
听	ting1
湿	shi1
筵	yan2

滴	di1
嫡	di2
淌	tang3
剔	ti1
暗	an4

倦	juan4
卷	juan3
倚	yi3
剑	jian4
讴	ou1

柱	zhu4
炷	zhu4
枉	wang3
述	shu4
淹	yan1

诠	quan2
详	xiang2
栓	shuan1
乾	qian2
抑	yi4

揾	wen3
温	wen1
揭	jie1
问	wen4
哉	zai1

宛	wan3
碗	wan3
苑	yuan4
衍	yan3
滋	zi1

文	wen2
汶	wen4
这	zhe4
烷	wan2
钙	gai4

蚝	hao2
耗	hao4
蚊	wen2
勺	shao2
揾	wen3

浊	zhuo2
烛	zhu2
冲	chong1
酌	zhuo2
庵	an1

而	er2
耳	er3
两	liang3
尔	er3
叫	jiao4

娥	e2
饿	e4
娣	di4
厄	e4
恍	huang3

鸦	ya1
鸭	ya1
鸿	hong2
丫	ya1
胫	jing4

拒	ju4
巨	ju4
柜	gui4
剧	ju4
剜	wan1

芬	fen1
分	fen1
芸	yun2
珍	zhen1
揠	ya4

喃	nan2
楠	nan2
哺	bu3
囡	nan1
浴	yu4

维	wei2
唯	wei2
准	zhun3
为	wei2
衷	zhong1

噪	zao4
燥	zao4
嘤	ying1
赵	zhao4
音	yin1

殃	yang1
秧	yang1
映	ying4
洋	yang2
济	ji4

健	jian4
键	jian4
挺	ting3
剑	jian4
医	yi1

守	shou3
寿	shou4
安	an1
首	shou3
臃	yong1

仲	zhong4
中	zhong1
伪	wei3
郑	zheng4
锿	ai1

仪	yi2
义	yi4
仗	zhang4
颐	yi2
眶	kuang4

持	chi2
峙	zhi4
特	te4
匙	chi2
远	yuan3

思	si1
息	xi1
恙	yang4
施	shi1
漾	yang4

挤	ji3
齐	qi2
侪	chai2
剂	ji4
纨	wan2

抬	tai2
胎	tai1
给	gei3
太	tai4
荫	yin4

骐	qi2
棋	qi2
验	yan4
脐	qi2
痒	yang3

噌	ceng1
蹭	ceng4
嗳	ai3
成	cheng2
悦	yue4

秘	mi4
铋	bi4
秧	yang1
俪	li4
璜	huang2

倚	yi3
椅	yi3
倌	guan1
乙	yi3
疮	chuang1

促	cu4
俗	su2
捉	zhuo1
蹙	cu4
剜	wan1

榅	wen1
温	wen1
愠	yun4
闻	wen2
汰	tai4

缉	ji1
辑	ji2
缘	yuan2
几	ji1
赝	yan4

冈	gang1
岗	gang3
区	qu1
港	gang3
意	yi4

